year,yield_corn,yield_soybean,yield_wheat,49_0,49_1,49_2,49_3,49_4,65_0,65_1,65_2,65_3,65_4,81_0,81_1,81_2,81_3,81_4,97_0,97_1,97_2,97_3,97_4,113_0,113_1,113_2,113_3,113_4,129_0,129_1,129_2,129_3,129_4,145_0,145_1,145_2,145_3,145_4,161_0,161_1,161_2,161_3,161_4,177_0,177_1,177_2,177_3,177_4,193_0,193_1,193_2,193_3,193_4,209_0,209_1,209_2,209_3,209_4,225_0,225_1,225_2,225_3,225_4,241_0,241_1,241_2,241_3,241_4,257_0,257_1,257_2,257_3,257_4
2010,9.575788835,2.924329904,3.102724925,9662.0,19322.0,2825.0,723.0,11.0,8396.0,42928.0,5605.0,870.0,21.0,3730.0,50709.0,8910.0,913.0,6.0,850.0,41191.0,20054.0,2353.0,8.0,302.0,28469.0,28803.0,6753.0,144.0,105.0,22327.0,30230.0,11566.0,267.0,32.0,14286.0,33828.0,16133.0,216.0,21.0,3397.0,18486.0,40729.0,1862.0,20.0,3037.0,10344.0,47510.0,3584.0,22.0,1839.0,7790.0,31933.0,22911.0,43.0,2272.0,8246.0,26360.0,27574.0,125.0,3503.0,11253.0,26164.0,23450.0,223.0,5037.0,15174.0,41031.0,3030.0,262.0,9535.0,34312.0,20351.0,35.0
2011,9.214582413,2.823251608,2.933852561,8834.0,33047.0,5766.0,478.0,0.0,6422.0,35591.0,7438.0,652.0,4.0,5369.0,39435.0,10717.0,1200.0,2.0,3408.0,41321.0,16063.0,2437.0,0.0,758.0,37523.0,20620.0,5540.0,17.0,220.0,27207.0,28786.0,8083.0,192.0,130.0,19316.0,31757.0,13100.0,192.0,98.0,8030.0,29824.0,26190.0,352.0,118.0,5460.0,16171.0,40965.0,1781.0,66.0,4282.0,7429.0,33212.0,19505.0,71.0,4913.0,7377.0,25559.0,26574.0,100.0,4939.0,8146.0,24332.0,26977.0,125.0,6407.0,10833.0,33180.0,13949.0,162.0,8685.0,25572.0,28940.0,1136.0
2012,7.726892182,2.686798209,3.106527468,14087.0,39379.0,8578.0,529.0,0.0,6019.0,47210.0,9832.0,961.0,5.0,1195.0,37754.0,20703.0,4766.0,57.0,539.0,33994.0,23138.0,6732.0,92.0,206.0,28905.0,26303.0,9010.0,71.0,159.0,23450.0,30164.0,10618.0,104.0,60.0,11826.0,38038.0,14477.0,94.0,47.0,6109.0,30782.0,27327.0,230.0,54.0,4878.0,13016.0,43126.0,3421.0,49.0,4704.0,11381.0,37374.0,10987.0,103.0,5919.0,12613.0,32749.0,13111.0,239.0,7292.0,13211.0,32278.0,11475.0,393.0,8980.0,20736.0,32480.0,1906.0,588.0,18355.0,26014.0,19468.0,70.0
2013,9.925863141,2.961523501,3.167348051,13465.0,23646.0,8960.0,403.0,1.0,11803.0,27658.0,9084.0,530.0,5.0,5158.0,36923.0,11368.0,805.0,7.0,4044.0,28940.0,15195.0,3487.0,55.0,3329.0,36799.0,18599.0,5502.0,48.0,635.0,33173.0,21514.0,9061.0,110.0,190.0,19175.0,28595.0,16405.0,130.0,135.0,11292.0,33361.0,19510.0,197.0,106.0,4656.0,15324.0,41721.0,2688.0,115.0,4563.0,7545.0,37152.0,15120.0,200.0,3054.0,6902.0,26084.0,28255.0,223.0,3367.0,8839.0,23922.0,28144.0,269.0,4809.0,11872.0,32929.0,14616.0,269.0,5994.0,20652.0,36995.0,585.0
2014,10.73276272,3.197780503,2.937882904,15198.0,27837.0,2924.0,159.0,0.0,11973.0,41973.0,3583.0,436.0,0.0,8795.0,47513.0,5956.0,525.0,5.0,1860.0,51548.0,10218.0,807.0,22.0,395.0,43177.0,18717.0,2119.0,86.0,409.0,33071.0,24798.0,6149.0,66.0,321.0,22107.0,28405.0,13481.0,180.0,97.0,6592.0,33950.0,23754.0,101.0,65.0,2899.0,9786.0,40884.0,10861.0,121.0,2828.0,7309.0,32308.0,21929.0,184.0,2933.0,8141.0,24490.0,28747.0,317.0,3600.0,8224.0,22037.0,30317.0,405.0,4401.0,9488.0,27516.0,22685.0,499.0,5659.0,16607.0,40609.0,1121.0
2015,10.57239902,3.230622733,2.930544676,29144.0,17171.0,4064.0,659.0,13.0,6108.0,51999.0,5206.0,642.0,4.0,1462.0,53315.0,8742.0,911.0,20.0,394.0,47006.0,14184.0,2869.0,38.0,114.0,38978.0,20689.0,4671.0,43.0,88.0,25962.0,27553.0,10732.0,159.0,46.0,15681.0,31178.0,17387.0,202.0,41.0,4135.0,29622.0,29824.0,873.0,82.0,3570.0,10117.0,40982.0,9744.0,145.0,2988.0,7992.0,28543.0,24827.0,266.0,2987.0,8899.0,25512.0,26831.0,336.0,3916.0,10934.0,20579.0,28730.0,308.0,5710.0,12970.0,34954.0,10553.0,264.0,8168.0,28117.0,27675.0,271.0
2016,10.9604626,3.493606215,3.540828402,12511.0,37648.0,8792.0,790.0,18.0,1689.0,49944.0,11349.0,1335.0,19.0,868.0,45737.0,15923.0,1916.0,10.0,347.0,42368.0,18825.0,2944.0,11.0,105.0,30436.0,27936.0,5925.0,93.0,65.0,23100.0,31022.0,10136.0,171.0,117.0,12136.0,34659.0,17349.0,234.0,33.0,6663.0,30695.0,26925.0,178.0,48.0,3194.0,13309.0,43965.0,3978.0,82.0,2720.0,8146.0,28124.0,25422.0,205.0,3317.0,8096.0,19367.0,33510.0,322.0,3845.0,8888.0,19005.0,32435.0,391.0,4661.0,10004.0,29124.0,20315.0,542.0,5867.0,22007.0,35148.0,931.0
2017,11.08377886,3.313417596,3.117515463,5814.0,42831.0,9991.0,654.0,7.0,3992.0,44411.0,12132.0,697.0,3.0,1469.0,46544.0,14809.0,1457.0,9.0,170.0,41613.0,20175.0,2517.0,14.0,52.0,31427.0,26292.0,6649.0,75.0,99.0,26572.0,28403.0,9313.0,108.0,52.0,19604.0,30431.0,14009.0,399.0,43.0,8394.0,36784.0,18847.0,427.0,34.0,4144.0,14380.0,42917.0,3020.0,32.0,3617.0,10475.0,27021.0,23350.0,47.0,4133.0,8612.0,21940.0,29763.0,72.0,3842.0,8251.0,19363.0,32967.0,272.0,4567.0,10964.0,32614.0,16078.0,426.0,6662.0,22852.0,34178.0,377.0
2018,11.0748229,3.399768675,3.20062383,10301.0,36927.0,5085.0,385.0,0.0,7956.0,37716.0,6142.0,446.0,0.0,8318.0,39375.0,8632.0,827.0,5.0,8530.0,41062.0,10708.0,1218.0,32.0,884.0,46522.0,15051.0,1998.0,40.0,147.0,29918.0,26993.0,7347.0,90.0,155.0,17980.0,31724.0,14443.0,193.0,99.0,4542.0,24151.0,34819.0,884.0,42.0,3121.0,7535.0,36278.0,17519.0,70.0,2776.0,7314.0,26983.0,27352.0,138.0,3347.0,7535.0,21432.0,32043.0,200.0,4168.0,10557.0,22778.0,26792.0,328.0,5703.0,11402.0,35639.0,11423.0,343.0,8932.0,32142.0,22635.0,443.0
2019,10.51045084,3.187489696,3.474591951,9321.0,18808.0,6039.0,563.0,1.0,6995.0,32987.0,6371.0,671.0,4.0,4941.0,43171.0,8001.0,914.0,10.0,2900.0,43805.0,14961.0,2587.0,46.0,289.0,36665.0,21492.0,5997.0,48.0,100.0,26995.0,26886.0,10298.0,216.0,54.0,19822.0,30478.0,14008.0,131.0,51.0,12033.0,34742.0,17389.0,279.0,46.0,3804.0,22040.0,37587.0,1018.0,44.0,2569.0,10322.0,40541.0,11019.0,79.0,2930.0,7836.0,29301.0,24349.0,164.0,3159.0,9016.0,22412.0,29744.0,247.0,3905.0,9743.0,26124.0,24476.0,342.0,4907.0,14371.0,41392.0,3483.0
2020,10.76061962,3.432721072,3.341684578,10308.0,33512.0,6859.0,625.0,2.0,7342.0,42538.0,7912.0,774.0,3.0,4625.0,43398.0,12429.0,2374.0,9.0,1375.0,42294.0,17255.0,3490.0,30.0,219.0,38085.0,21038.0,5034.0,118.0,73.0,29711.0,27260.0,7378.0,73.0,90.0,21286.0,28854.0,14024.0,241.0,86.0,8945.0,35758.0,19459.0,247.0,66.0,4044.0,12893.0,43326.0,4166.0,83.0,2923.0,6915.0,31160.0,23414.0,200.0,2635.0,5761.0,21919.0,33980.0,284.0,3613.0,7692.0,21087.0,31819.0,333.0,4988.0,10544.0,36193.0,12437.0,312.0,9602.0,27297.0,26734.0,550.0
2021,11.08966895,3.479286553,2.980574774,15145.0,37088.0,5411.0,289.0,3.0,3924.0,52753.0,7165.0,399.0,3.0,2070.0,47604.0,13111.0,1627.0,3.0,1425.0,38290.0,21806.0,2962.0,1.0,883.0,35071.0,24168.0,4348.0,24.0,339.0,29034.0,26789.0,8277.0,55.0,63.0,18424.0,30953.0,14862.0,193.0,42.0,7817.0,36227.0,20263.0,146.0,73.0,2867.0,13371.0,36046.0,12138.0,121.0,2768.0,9455.0,22398.0,29753.0,148.0,3371.0,10172.0,19263.0,31541.0,263.0,4215.0,11438.0,19289.0,29290.0,467.0,4695.0,11987.0,31824.0,15522.0,457.0,6934.0,30701.0,26090.0,313.0
2022,10.78809182,3.348137372,3.127315782,15885.0,34518.0,5565.0,454.0,12.0,8766.0,45752.0,6748.0,463.0,6.0,3802.0,48632.0,11277.0,651.0,28.0,3412.0,42468.0,16297.0,1862.0,72.0,1425.0,38695.0,20920.0,3386.0,20.0,361.0,31694.0,25373.0,6988.0,66.0,436.0,23503.0,26859.0,13449.0,247.0,199.0,7673.0,34448.0,21943.0,232.0,82.0,4673.0,20766.0,37560.0,1414.0,113.0,4575.0,7338.0,34535.0,17934.0,117.0,4249.0,7741.0,22944.0,29444.0,312.0,5227.0,7865.0,21272.0,29819.0,446.0,5615.0,10797.0,22627.0,25010.0,375.0,8822.0,21127.0,32395.0,1776.0
